Speed,EncodedPolyLine
21.13,}btwFx|ubMsD_AgJcAcR{ByJ_AsBFiEbByCXaFuAkLiDsTaNsPoKmCmB
26.1,y{swFvavbMjANlGSvQn@fa@fBhQdA
21.75,mtxwF|}sbMl@^~GpK|LrIbLlH??lK~G|FtD`C~@}@WdWnGdKmC|k@~G`CRzElC
19.88,kaxwFjptbM{GuFuFgIwHsFmJqG_OwJcCw@qE[cBc@
21.13,kezwFf`sbMv@TxAVnDZe@Gz@J~@Xf@VlEnC??~KpH??vCpB??zEbD??dC`B
45.98,aaawFdw}cMZyDKgMd@mF`GsN`FwJtAkCnBgDnGwKrBuD|DgJpFgMbGiNlQoa@hCgGnDwHbHeOpH}OzI{KnHmIzCaFpCaLlBsV
39.77,_o}vFxxvcMlF}ClEk@bEI|F|@vF|AtEv@jJ`Cfr@j]zPbKzPvQ
52.82,_djvF|badMP|IV`GXhY`Ajf@l@pX\zOp@`NTxL?nDmApXe@bJeBxXg@jFsDtO
32.93,mmmwFx`wbMxDt@rAb@rFv@jCNbJOfEaAre@yMft@y_@`K}EjHcC`EkCnGgF
18.02,etmwFldwbMqASqCu@qBm@iCu@gCQcC[qDm@yDq@qAUw@WcAm@wAOu@GiBi@yDk@cEq@mDg@mDg@uDg@wEm@{Dc@mFo@}Fs@
6.84,mlmwFr~vbMUKw@AcBj@i@`Aa@vC??l@P??dBf@~BXfEdAp@B
39.15,gkhwFp~tbMoJdGkHnCaK`Fat@d`@oe@`NyD|@{L@wHsA{EeB
55.3,wbmxFnlsaMyLbE}M|BcONkJaA_G_CoFoEqFoGqCaFsD}H{EaNeD}MgJuj@a@sEMqDF}Hj@oH
57.17,mmdxFjq{aM}Bm\aBwUa@sIeB_\qCq`@sB{Y
0,_igxFb_raMqCLaCHiHZcVTyBXsA\wAf@uAn@yD`BoB`@yATmBFeACiCSqBe@kKaCqCUsBAaGVuDXwJ~AgD`AmDfAuBlAeKhHyM~GwRrI
54.06,gndxFvq{aM{Ced@sAqReBa^{Cyb@{Bw[
32.93,yi_xFfndbMb@^Xb@ThAEbB_@nByAbEm@fAkAbDiAlDo@nBaCfIcEfMkBnGeAhD
37.28,qizwFhndbMkIlMeD`DyIbGyJ`HsOnK{OzKcBf@mBPoCKkBg@uBcAsIiHgGgFuFaEiGoFqMaLmGmFcFsDcHyE{ByA{EcDqGoEeAo@}@e@
29.2,uxmwFn_tbMgAwBi@eBc@sB[qC[wE
42.25,aqjwFl}sbMqCr@}B?yAWoCu@{DyAyM_F{KeEcAk@iAgA}@sAcAkBy@kBy@}Ck@kDMmCA{CNyB`@qFbAcMXuB\wAf@qAbA{AbCqCx@aAfGaHhCwChAkAnAkC`@wBP_DpBavAKkDiAkEuAmByBaB_Cg@{LqCuFmBiFeCgNuGqKcFwKmF}EmCcCuAiC}AyCgBaFeD}B{BeKwMyIwN
31.07,oqjwFt}sbMwCn@gABoBWkF{AaE}AaBm@mJoDaI}Co@UoAmAyAwBiBiDi@eBg@yB_@mBS{BAuCBeARoCb@{Ej@aA~@_@t@HVXD^C`@u@hBWl@qCtDgChDsH`KyKtNcNjQaCfDiBnCaCrD
29.2,gplwFnkrbMJ}CZiEh@mGNeBh@{Dh@wBb@cAr@iAl@s@|@u@d@YVGl@A^JTVVn@Dt@Gl@Uf@i@j@eA~@gCjAyDhBcCfA_A`@cB|@wIbEgF~BuPdI}SzI{KbFeGtC{CJ
39.77,}sowFx_jbMwDgHuHgOgG}LqBkDmB}CeCeFoD{Hg@qAcAgGuC_Qy@{D}AwD_CqD{BuC{BuCyBcCcEyDqEuCiIuEsBkBiBuBoAqBs@aBeB{FwAgI
42.25,kngwFzjtbM{CjBiIzG}Ap@yBXeACuA[uBw@uDuAqVoJgK{DkK_E_Ba@yBEuBj@eCt@
37.9,wtowF|_jbMsDcHsHyNgGeM_CyDoB{C_CiF}C}Gs@iBeAcGsCeQw@oDkAuCuCyEwBoCqBkCeCoCaEqD_EgCuIkFsBeBgBsByAaCu@eBiB}FqAiI
45.98,kqjwFp~sbM}Bn@aCAaB_@wCy@aE_BqM}EsLoEo@a@mAiA}@uAeAqBw@mB{@_Di@sDKkC?uCLeC^sF`A{LZ}B\{An@{A`A{AdCmCx@_AfGaHnCuC|@eAlAsC\oBN{CnBsuAQmDc@yBiAeCkBeBoDeAeMqCaGyBsEyByN_HcKyE}KqFgFaCkDq@uCoAaC_B{DmEeCyCaKyMyIkO
47.22,ewjxF`e{aM~X_EfLs@pRFbE^fUlClPlC`TdE`Gb@|HMtG]fLmBzQaB
52.2,wvjxFjf{aMrX_EpKYnJFnNDrTrCdP`CzSdElGb@vHAzG]hLuB|Q{A
44.74,wr_xFppraM_GjDsXtNci@pYsB~@}Ab@gAHiKD
50.95,isbxFxctaMkGCyIs@_NWgVb@iF`@
52.2,kr_xFpqraM|IgFfJaGbNaIjCqAtDw@vDOlLf@xHfBpOnBzJ`A|Cn@pEfBz[|O|HzEtBdBnElFhElHbAxB
44.74,gsbxFfftaMrFQ`BQvBWxBs@rCcBpe@wVnb@iU
54.06,}sewFnveaMvB{`@HwCDcj@x@oj@SmCWoAw@aCc@eAgBiC_BaB}E}D_XyOiHeFeIwGgTeS_TwMsFsCWE
52.82,wtewFjveaMkDlo@YvJAxCD`Pt@ha@`Bt`@
39.77,avewFpljaM|@hR???fDOlFu@dI??D|P??BhSQ~@_@h@??uDdDcAf@}ANiEQkIG??{GXeC^gBj@EH??qQlGiSvHuC|@u]bNwd@jTwQfI{K`GkPxHqPlG
47.85,gxhxFp{fbMpAiE`@kGhEm[L{FQqIUeKm@}^?gTB{FLgG
49.09,eyhxFxzfbMjBiJpCiQjAoKL_GMiIUqKk@}^CgTBcFN_H
55.3,{sexFn}vaMhC_MtAuDrC}Hj@cCTwBFqCIyD]sFwAwSo@uI_AyFe@wBmAmE}A}DwAsCyFqK{DmH}AuD{D_KeCiCiCmAuDQwC`@kH`B
55.92,_pfxF`}yaMdFsWfDmPpH}^lEgTBBBBB
49.71,cuexFp~vaMcFbWcDtOsC|Nm@pBa@dCk@nDqAfGiAxFgBxI
0,uzhxFfyfbMcCbIsGfT_CrQu@tJcB|PeF|b@yAjNkAnMiDrZcAnEm@`DSbByAbG
52.2,}zhxFryfbMfC_J~BqOlAgIZkFC_Hq@sZ[wb@ToV
52.2,{yhxFbzfbMtA}FfDyT|@iGZ_F?_Fe@oSk@i]AkUFgF
0,yyhxFdzfbM_CvH{G`T{BjQcAxJaBrP_F~b@yAnNsAvMoDnZaApEk@bDUrBm@pF
